"app name","APK","occurrences"
"candy crush saga","553834731","4511"
"cube master 3d - classic match","1578906034","4485"
"words of wonders: guru","com.fugo.wowguru","4458"
"find differences search & spot","1579287385","4438"
"happy color color by number","com.pixel.art.coloring.color.number","4418"
"mob control","com.vincentb.mobcontrol","4403"
"jelly master: mukbang asmr","com.fc.p.cp.jelly.mukbang.asmr.live.diy","4401"
"wordling: daily word challenge","io.digitalsnacks.wordchallenge","4380"
"going balls","com.pronetis.ironball2","4369"
"happy puzzle™ shoot block 2048","happy.puzzle.merge.block.shoot2048.number.game.free","4349"
"vita mahjong","6468921495","4340"
"stealth master: assassin ninja","com.stealthgame.master","4315"
"wiseplay","com.wiseplay","4305"
"find n seek: spy hidden object","com.find.hidden.object.out.treasure.hunt.seek.puzzle.games","4302"
"words of wonders: zen","com.fugo.wowzen","4254"
"word search - word puzzle game","com.playvalve.wsjourney","4253"
"the superhero league 2","com.onebutton.mrsuper2","4244"
"color oasis - color by number","com.tapcolor.color.coloring.number.paint.free","4217"
"color wood screw","com.ig.color.wood.screw","4159"
"car jam","car.jam.traffic.seat.unblock","4148"
"cocoplayer","top.cocoteam.cocoplayer","4135"
"craftman go","com.craftman.building.craftworld.go","4130"
"my perfect hotel","1635760774","4121"
"jigsaw puzzles - puzzle games","1324604053","4119"
"tangle rope 3d: untie master","tangle3d.twistedrope.untie.untangle","4108"
"classic solitaire - klondike","com.homa.free.solitaire.card.game","4105"
"rakuten viber messenger","com.viber.voip","4100"
"euchre - card game offline","com.euchre.solitaire.plus.offline.free.card.games","4045"
"dream family - match 3 games","com.cookie.match3.casual","4012"
"7plus","1119404646","3943"
"magic jigsaw puzzles－games hd","com.bandagames.mpuzzle.gp","3941"
"merge studio: fashion makeover","com.paxiegames.mergestudio","3938"
"blossom match - puzzle game","com.tripledot.tile.blossom","3937"
"subway surfers","com.kiloo.subwaysurf","3923"
"find it out - hidden object","find.out.hidden.objects.seek.puzzle.games.free","3918"
"mackolik live score | m scores","com.kokteyl.mackolik","3914"
"water sort - color puzzle game","game.water.sort.puzzle.android","3898"
"match triple 3d: goods master","com.triple.match3d.goods.puzzle.games","3888"
"ball sort - color puz game","ball.sort.color.puz.game.puzzle","3882"
"jigsaw premium puzzles hd","in.playsimple.jigsaw_puzzle","3870"
"little farm story: idle tycoon","com.h8games.littlefarmstory","3831"
"water sort puzzle","1514542157","3830"
"woody block puzzle ®","game.puzzle.woodypuzzle","3819"
"perfect tidy","com.abi.perfect.tidy","3818"
"differences - find & spot them","com.easybrain.find.the.difference","3802"
"color up - color by number","classic.relax.happy.color.by.number.game","3799"
"block puzzle-wood sudoku game","1494864196","3781"
"podcast player","com.podcast.podcasts","3781"
""tumblr—fandom"," art"," chaos"","com.tumblr"
"woodber - classic number game","and.lihuhu.woober","3762"
"june's journey: hidden objects","net.wooga.junes_journey_hidden_object_mystery_game","3737"
"musi - simple music streaming","591560124","3733"
"unscrew nuts sort: pin puzzle","com.pin.screw.color.nuts.bolts.spin.free.game","3731"
"water sort puzzle - sort color","water.sort.puzzle.game.color.sorting.free","3722"
"solitaire","com.solitaire.klondike.patience.ocean.aquarium","3707"
"ludo king™","com.ludo.king","3695"
"parking master multiplayer 2","com.spektragames.parkingmastermultiplayer2","3695"
"jigsawscapes® - jigsaw puzzles","1589762792","3685"
"bubble sort color puzzle","com.gma.ball.sort.color.water.puzzle","3667"
"freecell solitaire: card games","com.mobilityware.freecell","3655"
"ridmik keyboard","ridmik.keyboard","3636"
"triple find - match triple 3d","and.lihuhu.findmatch","3619"
"turbo vpn - secure vpn proxy","free.vpn.unblock.proxy.turbovpn","3609"
"killer sudoku - sudoku puzzles","easy.killer.sudoku.puzzle.solver.free","3606"
"spider solitaire","com.easybrain.spider.solitaire","3549"
"amino: communities and fandom","com.narvii.amino.master","3548"
"puzzle page - daily puzzles!","com.appynation.puzzlepage","3538"
"melon maker : fruit game","com.superbox.aos.suikagame","3522"
"dragon city","es.socialpoint.dragoncity","3518"
"goods sorting: match 3 puzzle","6482849843","3475"
"killer sudoku by sudoku.com","com.easybrain.killer.sudoku.free","3463"
"x2 blocks - 2048 number game","com.inspiredsquare.blocks","3459"
